boat,boatManufacturer,boatModel,boatLength,motorName,motorHP,motorProp,pdfUrl,localFilePath,status
Coach 210RF,Coach,210RF,21',BF150A  - Non-Current,150,Stainless Steel 14.75 X 16 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 Coach 210RF.pdf,honda_downloads\BF150_Coach_210RF.pdf,Downloaded
Coach 230RFC,Coach,230RFC,21',BF150A  - Non-Current,150,Stainless Steel 14.75 X 16 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 Coach 230RFC.pdf,honda_downloads\BF150_Coach_230RFC.pdf,Downloaded
Custom Weld 21 Offshore  XXX,Custom,Weld 21 Offshore  XXX,"21' 4""",BF150A  - Non-Current,150,Stainless Steel 14.75 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 Custom Weld 21 Offshore  XXX.pdf,honda_downloads\BF150_Custom_Weld_21_Offshore__XXX.pdf,Downloaded
Highfield DL640,Highfield,DL640,"21' 1""",BF150A  - Non-Current,150,Stainless Steel 14.75 X 16 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 Highfield DL640.pdf,honda_downloads\BF150_Highfield_DL640.pdf,Downloaded
RiverRaider 20 Jet,RiverRaider,20 Jet,"20' 2""",105hp Jet (BF150 Jet version),105,Jet,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 Jet RiverRaider 20.pdf,honda_downloads\BF150_Jet_RiverRaider_20.pdf,Downloaded
Lund 1875 Crossover XS,Lund,1875 Crossover XS,"18' 10""",BF150A  - Non-Current,150,Stainless Steel 14.75 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 Lund 1875 Crossover XS.pdf,honda_downloads\BF150_Lund_1875_Crossover_XS.pdf,Downloaded
Tidewater 2110 Bay Max,Tidewater,2110 Bay Max,"21' 6""",BF150A  - Non-Current,150,Stainless Steel 14.25 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150 Tidewater 2110 Bay Max.pdf,honda_downloads\BF150_Tidewater_2110_Bay_Max.pdf,Downloaded
Apex Quest Angler,Apex,Quest Angler,20.8',BF150A  - Non-Current,150,Solas Titan HR 14 3/4 x 16 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150-Apex-Quest-Angler.pdf,honda_downloads\BF150-Apex-Quest-Angler.pdf,Downloaded
JC Pontoon 266 TriToon Classic,JC,Pontoon 266 TriToon Classic,26.7',BF150A  - Non-Current,150,Solas 15 x 14 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF150-JC_266_TriToon_Classic.pdf,honda_downloads\BF150-JC_266_TriToon_Classic.pdf,Downloaded
Grand G340,Grand,G340,"10' 10""",BF20,20,Aluminum 9.25 X 9 X 4,https://cdn.powerequipment.honda.com/marine/pdf/props/BF20 Grand G340.pdf,honda_downloads\BF20_Grand_G340.pdf,Downloaded
Coach 230 RL,Coach,230 RL,23',BF225A - Non-Current,225,Stainless Steel 15.75 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF225 Coach 230 RL.pdf,honda_downloads\BF225_Coach_230_RL.pdf,Downloaded
JC Manufacturing Sun Lounger 25,JC,Manufacturing Sun Lounger 25,25',BF225A - Non-Current,225,Quicksilver 15” X 16”,https://cdn.powerequipment.honda.com/marine/pdf/props/BF225- J_ 25_Sun_Lounger,honda_downloads\BF225-_J__25_Sun_Lounger.pdf,Failed
Alumacraft Trophy 205,Alumacraft,Trophy 205,"20' 8""",BF250A - Non-Current,250,Stainless Steel 15.25 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250 Alumacraft Trophy 205.pdf,honda_downloads\BF250_Alumacraft_Trophy_205.pdf,Downloaded
Avalon Catalina Platinum 2585 QL,Avalon,Catalina Platinum 2585 QL,"25' 5""",BF250A - Non-Current,250,Stainless Steel 15.5 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250 Avalon Catalina Platinum 2585 QL.pdf,honda_downloads\BF250_Avalon_Catalina_Platinum_2585_QL.pdf,Downloaded
Baytoon 23,Baytoon,23,23',BF250A - Non-Current,250,Stainless Steel 15.5 X 18 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250 Baytoon 23.pdf,honda_downloads\BF250_Baytoon_23.pdf,Downloaded
Berkshire 233RFX-STS,Berkshire,233RFX-STS,23.7',BF250A - Non-Current,250,Stainless Steel 15.75 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250 Berkshire 233RFX-STS.pdf,honda_downloads\BF250_Berkshire_233RFX-STS.pdf,Downloaded
Coach 2585 D.C. Arch,Coach,2585 D.C. Arch,"26' 10""",BF250A - Non-Current,250,Stainless Steel 15.75 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250 Coach 2585 D.C. Arch.pdf,honda_downloads\BF250_Coach_2585_D.C._Arch.pdf,Downloaded
Everglades 295,Everglades,295,"26' 7""",BF250A - Non-Current,250,Stainless Steel 15.25 X 20 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250 Everglades 295 Solas Lexor 3 Blade.pdf,honda_downloads\BF250_Everglades_295_Solas_Lexor_3_Blade.pdf,Downloaded
Hewes Craft 2200 Ocean Pro,Hewes,Craft 2200 Ocean Pro,"24' 8""",BF250A - Non-Current,250,Stainless Steel 15.5 X 16 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250 Hewes Craft 2200 Ocean Pro.pdf,honda_downloads\BF250_Hewes_Craft_2200_Ocean_Pro.pdf,Downloaded
Hurricane Sundeck Sport 231,Hurricane,Sundeck Sport 231,"23' 2""",BF250A - Non-Current,250,Solas Lexor 15 3/8 x 18 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250 Hurricane 231 Solas 3 Blade.pdf,honda_downloads\BF250_Hurricane_231_Solas_3_Blade.pdf,Downloaded
JC Sport Toon 23TT,JC,Sport Toon 23TT,23',BF250A - Non-Current,250,Solas Lexor 15 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250 JC 23TT Solas Lexor 3 Blade.pdf,honda_downloads\BF250_JC_23TT_Solas_Lexor_3_Blade.pdf,Downloaded
JC Sport Toon 23TT,JC,Sport Toon 23TT,23',BF250A - Non-Current,250,Solas Lexor 15 1/4 x 18 x 4,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250 JC 23TT Solas Lexor 4 Blade.pdf,honda_downloads\BF250_JC_23TT_Solas_Lexor_4_Blade.pdf,Downloaded
Bay Runner 250LX,Bay,Runner 250LX,"24' 6""",BF250A - Non-Current,250,Solas  15 3/8 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250 Sea Chaser 250 LX Solas 3 Blade.pdf,honda_downloads\BF250_Sea_Chaser_250_LX_Solas_3_Blade.pdf,Downloaded
Carolina Skiff 240 Ultra Elite,Carolina,Skiff 240 Ultra Elite,"23' 9""",BF250A - Non-Current,250,Stainless Steel 15.5 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250-Carolina Skiff 240 Ultra Elite.pdf,honda_downloads\BF250-Carolina_Skiff_240_Ultra_Elite.pdf,Downloaded
Coach 25 RF Tritoon,Coach,25 RF Tritoon,27',BF250A - Non-Current,250,Solas Lexor 15 1/2 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250-Coach-Tritoon.pdf,honda_downloads\BF250-Coach-Tritoon.pdf,Downloaded
Eastern Islander,Eastern,Islander,"27' 5""",BF250A - Non-Current,250,Stainless Steel 15.5 X 13 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250-Eastern-Islander.pdf,honda_downloads\BF250-Eastern-Islander.pdf,Downloaded
Hurricane Sundeck Sport 231,Hurricane,Sundeck Sport 231,"23' 2""",BF250A - Non-Current,250,Solas Lexor 15 3/8 x 18 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250-Hurricane-SunDeck.pdf,honda_downloads\BF250-Hurricane-SunDeck.pdf,Downloaded
Tidewater Boats 232,Tidewater,Boats 232,23',BF250A - Non-Current,250,Solas Lexor 15 X 17”,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250-Tidewater.pdf,honda_downloads\BF250-Tidewater.pdf,Downloaded
JC Pontoon 26 SportToon,JC,Pontoon 26 SportToon,26.7',BF250A - Non-Current,250,Solas 15 1/2 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF250_JC_26_SportToon.pdf,honda_downloads\BF250_JC_26_SportToon.pdf,Downloaded
Grand 340 Gold Line,Grand,340 Gold Line,"11' 10""",BF40D,40,Stainless Steel 11 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF40 Grand 380 Gold Line.pdf,honda_downloads\BF40_Grand_380_Gold_Line.pdf,Downloaded
Walker Bay 340,Walker,Bay 340,"11' 2""",BF40D,40,Aluminum 10 X 13 X 4,https://cdn.powerequipment.honda.com/marine/pdf/props/BF40 Walker Bay 340-Alum-2.pdf,honda_downloads\BF40_Walker_Bay_340-Alum-2.pdf,Downloaded
Walker Bay 340,Walker,Bay 340,"11' 2""",BF40D,40,Aluminum 10.875 X 12 X 4,https://cdn.powerequipment.honda.com/marine/pdf/props/BF40 Walker Bay 340-Alum.pdf,honda_downloads\BF40_Walker_Bay_340-Alum.pdf,Downloaded
Walker Bay 340,Walker,Bay 340,"11' 2""",BF40D,40,Stainless Steel 11.125 X 13 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF40 Walker Bay 340-SS.pdf,honda_downloads\BF40_Walker_Bay_340-SS.pdf,Downloaded
Walker Bay Generation 400,Walker,Bay Generation 400,13’ 1”,BF50D,50,Solas 11 ¼ X 13”,https://cdn.powerequipment.honda.com/marine/pdf/props/BF50-Walker_Bay.pdf,honda_downloads\BF50-Walker_Bay.pdf,Downloaded
Avalon VEN 1875 CR,Avalon,VEN 1875 CR,18',BF60,60,Aluminum 11.625 X 11 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF60 Avalon 1875 CR VEN.pdf,honda_downloads\BF60_Avalon_1875_CR_VEN.pdf,Downloaded
Grand 480,Grand,480,"14' 11""",BF60,60,Stainless Steel 11 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF60 Grand 480.pdf,honda_downloads\BF60_Grand_480.pdf,Downloaded
Walker Bay Generation 450,Walker,Bay Generation 450,"14' 9""",BF60,60,Aluminum 11 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF60 Walker Bay 450.pdf,honda_downloads\BF60_Walker_Bay_450.pdf,Downloaded
War Eagle 761 Blackhawk,War,Eagle 761 Blackhawk,17’ 5”,BF60,60,Solas 11” X 15”,https://cdn.powerequipment.honda.com/marine/pdf/props/BF60-War_Eagle.pdf,honda_downloads\BF60-War_Eagle.pdf,Downloaded
Alumacraft 165 Competitor,Alumacraft,165 Competitor,"16' 7""",BF75D,75,Stainless Steel 13.875 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF75 Alumacraft 165 Competitor.pdf,honda_downloads\BF75_Alumacraft_165_Competitor.pdf,Downloaded
Alumacraft Competitor 175 Tiller,Alumacraft,Competitor 175 Tiller,17.8',BF75D,75,Solas 13 3/4 x 13 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF75_Tiller_Alumacraft_Competitor_175_3_blade.pdf,honda_downloads\BF75_Tiller_Alumacraft_Competitor_175_3_blade.pdf,Downloaded
Alumacraft Competitor 175 Tiller,Alumacraft,Competitor 175 Tiller,17.8',BF75D,75,Solas 13 1/2 x 13 x 4,https://cdn.powerequipment.honda.com/marine/pdf/props/BF75_Tiller_Alumacraft_Competitor_175_4_blade.pdf,honda_downloads\BF75_Tiller_Alumacraft_Competitor_175_4_blade.pdf,Downloaded
Alumacraft Voyageur 175,Alumacraft,Voyageur 175,"17' 10""",BF90D,90,Stainless Steel 13.75 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF90 Alumacraft Voyageur 175.pdf,honda_downloads\BF90_Alumacraft_Voyageur_175.pdf,Downloaded
Avalon GS QL,Avalon,GS QL,23',BF90D,90,Stainless Steel 13.75 X 13 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF90 Avalon GS QL.pdf,honda_downloads\BF90_Avalon_GS_QL.pdf,Downloaded
Coach 23RF,Coach,23RF,24',BF90D,90,Stainless Steel 14 X 11 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF90 Coach 23RF.pdf,honda_downloads\BF90_Coach_23RF.pdf,Downloaded
Renegade 20 Skate,Renegade,20 Skate,20',BF90D,90,"Solas 13' x 17""",https://cdn.powerequipment.honda.com/marine/pdf/props/BF90-Renegade.pdf,honda_downloads\BF90-Renegade.pdf,Downloaded
Ugly Boats Panga,Ugly,Boats Panga,22',BF90D,90,Solas 13 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/BF90-Ugly-Boats-Panga.pdf,honda_downloads\BF90-Ugly-Boats-Panga.pdf,Downloaded
Baytoon 2300,Baytoon,2300,23',BF250A - Non-Current,250,Stainless Steel 15.5 X 18 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Baytoon 23 - BF250.pdf,honda_downloads\Baytoon_23_-_BF250.pdf,Downloaded
BENNINGTON - 225 RFS,BENNINGTON,225 RFS,"22' - 0""",BF150A  - Non-Current,150,Powertech OFS 15 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Bennington 2250 RFS with Powertech - BF150.pdf,honda_downloads\Bennington_2250_RFS_with_Powertech_-_BF150.pdf,Downloaded
BENNINGTON - 2250 RFS,BENNINGTON,2250 RFS,"22' - 0""",BF150A  - Non-Current,150,Solas 15 1/2 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Bennington 2250 RFS with Solas - BF150.pdf,honda_downloads\Bennington_2250_RFS_with_Solas_-_BF150.pdf,Downloaded
Blackshear 200,Blackshear,200,20',BF150A  - Non-Current,150,Stainless Steel 14.75 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Blackshear 200 - BF150.pdf,honda_downloads\Blackshear_200_-_BF150.pdf,Downloaded
Blackshear 200,Blackshear,200,20',BF135A - Non-Current,135,Stainless Steel 14.75 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Blackshear 200- BF135.pdf,honda_downloads\Blackshear_200-_BF135.pdf,Downloaded
Blackshear 220,Blackshear,220,22',BF225A - Non-Current,225,Stainless Steel 14.75 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Blackshear 220 - BF225.pdf,honda_downloads\Blackshear_220_-_BF225.pdf,Downloaded
Blackshear 220,Blackshear,220,22',BF150A  - Non-Current,150,Stainless Steel 14.75 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Blackshear 220- BF150.pdf,honda_downloads\Blackshear_220-_BF150.pdf,Downloaded
BOULTON SEA SKIFF 20,BOULTON,SEA SKIFF 20,"20' - 0""""",105hp Jet (BF150 Jet version),105,Stainless Impeller,https://cdn.powerequipment.honda.com/marine/pdf/props/Boulton Sea Skiff 20 - BF150 Jet.pdf,honda_downloads\Boulton_Sea_Skiff_20_-_BF150_Jet.pdf,Downloaded
BUMBLE BEE - 200 PRO SPORT,BUMBLE BEE,200 PRO SPORT,"20' - 4""",BF225A  - Non-Current,225,Tempest Plus 14 5/8 x 25 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Bumble Bee 200 Pro Sport with Tempest - BF225.pdf,honda_downloads\Bumble_Bee_200_Pro_Sport_with_Tempest_-_BF225.pdf,Downloaded
BUMBLE BEE - 200 PRO SPORT,BUMBLE BEE,200 PRO SPORT,"20' - 4""",BF225A  - Non-Current,225,Trophy Plus 13 3/4 x 26 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Bumble Bee 200 Pro Sport with Trophy - BF225.pdf,honda_downloads\Bumble_Bee_200_Pro_Sport_with_Trophy_-_BF225.pdf,Downloaded
C-DORY 19 ANGLER,C-DORY,19 ANGLER,"19' - 0""""",BF90D,90,Solas 13 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/C-Dory 19 - BF90.pdf,honda_downloads\C-Dory_19_-_BF90.pdf,Downloaded
C-DORY 22CC,C-DORY,22CC,"22' - 0""""",BF90D,90,Solas 13 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/C-Dory 22CC - BF90.pdf,honda_downloads\C-Dory_22CC_-_BF90.pdf,Downloaded
C-DORY 25 CRUISER,C-DORY,25 CRUISER,"25' - 5""",BF150A  - Non-Current,150,Solas Saturn 14 1/2 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/C-Dory 25 Cruiser - BF150.pdf,honda_downloads\C-Dory_25_Cruiser_-_BF150.pdf,Downloaded
Capecraft 190 Bay,Capecraft,190 Bay,19',BF115A - Non-Current,115,Stainless Steel 14 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Capecraft 190 Bay - BF115.pdf,honda_downloads\Capecraft_190_Bay_-_BF115.pdf,Downloaded
CARIBE 16 SR500,CARIBE,16 SR500,"16' - 5""""",BF90D,90,Solas 13 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Caribe 16 SR500 - BF90.pdf,honda_downloads\Caribe_16_SR500_-_BF90.pdf,Downloaded
CARIBE INFLATABLES CL14,CARIBE,INFLATABLES CL14,"11' - 4""""",BF50D,50,Solas 11 x 14 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Caribe CL14 - BF50 EFI.pdf,honda_downloads\Caribe_CL14_-_BF50_EFI.pdf,Downloaded
CARIBIANA 34 PREMIER,CARIBIANA,34 PREMIER,"34' - 0""""",2 x BF150A - Non-Current,150,Powertech 14 3/4 x 16 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Caribiana 34 Premiere - BF150.pdf,honda_downloads\Caribiana_34_Premiere_-_BF150.pdf,Downloaded
CAROLINA SKIFF - 220 BAYRUNNER TE,CAROLINA SKIFF,220 BAYRUNNER TE,"21' - 7""",BF150A  - Non-Current,150,PWRTECH OFS 15 1/4 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Carolina Skiff 220 Bayrunner TE - BF150.pdf,honda_downloads\Carolina_Skiff_220_Bayrunner_TE_-_BF150.pdf,Downloaded
CAROLINA SKIFF - 2400 CC,CAROLINA SKIFF,2400 CC,"24' - 0""",2 x BF150A - Non-Current,150,MIRAGE PLUS    15 1/4 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Carolina Skiff 2400 CC - BF150.pdf,honda_downloads\Carolina_Skiff_2400_CC_-_BF150.pdf,Downloaded
CAROLINA SKIFF SEA CHASER 245 BAYRUNNER LX,CAROLINA,SKIFF SEA CHASER 245 BAYRUNNER LX,"24' - 0""""",BF200A  - Non-Current,200,Solas Titan 15 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Carolina Skiff Sea Chaser 245 Bayrunner LX - BF200.pdf,honda_downloads\Carolina_Skiff_Sea_Chaser_245_Bayrunner_LX_-_BF200.pdf,Downloaded
CEASAR P850,CEASAR,P850,"27' - 0""""",2 X BF90D,90,Precision 13 1/4 x 16 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Ceasar P850 - BF90.pdf,honda_downloads\Ceasar_P850_-_BF90.pdf,Downloaded
CHARGER - 496TF FOXFIRE,CHARGER,496TF FOXFIRE,"20' - 6""",BF225A  - Non-Current,225,TEMPEST +     14 5/8 X 23 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Charger 496 TF Foxfire - BF225.pdf,honda_downloads\Charger_496_TF_Foxfire_-_BF225.pdf,Downloaded
CHECKMATE - PULSARE 2100,CHECKMATE,PULSARE 2100,"21' - 0""",BF225A  - Non-Current,225,PRECISION     14 1/4 X 23 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Checkmate Pulsare 2100 - BF225.pdf,honda_downloads\Checkmate_Pulsare_2100_-_BF225.pdf,Downloaded
Clearwater 2000,Clearwater,2000,19.8',BF115A - Non-Current,115,Stainless Steel 14.75 X 18 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Clearwater 2000 - BF115.pdf,honda_downloads\Clearwater_2000_-_BF115.pdf,Downloaded
Clearwater 2508,Clearwater,2508,25',BF150A  - Non-Current,150,Stainless Steel 15.5 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Clearwater 2508 - Twin BF150.pdf,honda_downloads\Clearwater_2508_-_Twin_BF150.pdf,Downloaded
COLUMBIA 1814 FISHERMAN,COLUMBIA,1814 FISHERMAN,"18' - 0""",BF90D,90,Solas 13 3/8 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Columbia 1814 Fisherman with Aluminum - BF90.pdf,honda_downloads\Columbia_1814_Fisherman_with_Aluminum_-_BF90.pdf,Downloaded
COLUMBIA 1814 FISHERMAN,COLUMBIA,1814 FISHERMAN,"18' - 0""",BF90D,90,Powertech 13 3/8 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Columbia 1814 Fisherman with Stainless - BF90.pdf,honda_downloads\Columbia_1814_Fisherman_with_Stainless_-_BF90.pdf,Downloaded
CREST - 27 ULTRA,CREST,27 ULTRA,"27' - 0""",BF150A  - Non-Current,150,SOLAS            15 1/2 X 13 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Crest 27 Ultra - BF150.pdf,honda_downloads\Crest_27_Ultra_-_BF150.pdf,Downloaded
CRESTLINER 1700 MIRAGE,CRESTLINER,1700 MIRAGE,"17' - 1""""",BF90D,90,Solas 13 1/2 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Crestliner 1700 Mirage - BF90.pdf,honda_downloads\Crestliner_1700_Mirage_-_BF90.pdf,Downloaded
CRESTLINER - 1850 SF,CRESTLINER,1850 SF,"18' - 2""",BF150A  - Non-Current,150,Power Tech OFS 15 1/4 x 18 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Crestliner 1850 Sportfish - BF150.pdf,honda_downloads\Crestliner_1850_Sportfish_-_BF150.pdf,Downloaded
Crevalle 24 Bay,Crevalle,24 Bay,23.6',BF250A - Non-Current,250,Stainless Steel 15.25 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Crevalle 24 Bay - BF250.pdf,honda_downloads\Crevalle_24_Bay_-_BF250.pdf,Downloaded
Crevalle 24 Bay,Crevalle,24 Bay,23.6',BF250A - Non-Current,250,Stainless Steel 14.75 X 18 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Crevalle 24 bay 190131.pdf,honda_downloads\Crevalle_24_bay_190131.pdf,Downloaded
CUSTOM WELD VIPER (WIDE BODY),CUSTOM,WELD VIPER (WIDE BODY),"19' - 0""""",BF150A  - Non-Current,150,Solas 14 3/4 x 18 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Custom Weld Viper 19 Wide Body - BF150.pdf,honda_downloads\Custom_Weld_Viper_19_Wide_Body_-_BF150.pdf,Downloaded
DARGEL BOAT WORKS SKOOTER 136 SPORT,DARGEL,BOAT WORKS SKOOTER 136 SPORT,"13' - 6""""",BF50D,50,Powertech YS50SWC4RH,https://cdn.powerequipment.honda.com/marine/pdf/props/Dargel Skooter 136 Sport - BF50 EFI.pdf,honda_downloads\Dargel_Skooter_136_Sport_-_BF50_EFI.pdf,Downloaded
DUCKWORTH 175 NAVIGATOR SPORT,DUCKWORTH,175 NAVIGATOR SPORT,"17' - 6""",BF90D,90,Solas 13 3/8 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Duckworth 175 Navigator Sport with Aluminum - BF90.pdf,honda_downloads\Duckworth_175_Navigator_Sport_with_Aluminum_-_BF90.pdf,Downloaded
DUCKWORTH 175 NAVIGATOR SPORT,DUCKWORTH,175 NAVIGATOR SPORT,"17' - 6""",BF90D,90,Powertech 13 3/8 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Duckworth 175 Navigator Sport with Stainless - BF90.pdf,honda_downloads\Duckworth_175_Navigator_Sport_with_Stainless_-_BF90.pdf,Downloaded
DUCKWORTH 200 PACIFIC NAVIGATOR,DUCKWORTH,200 PACIFIC NAVIGATOR,"20' - 0""",BF200A  - Non-Current,200,Powertech 15 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Duckworth Pacific Navigator 200 - BF200.pdf,honda_downloads\Duckworth_Pacific_Navigator_200_-_BF200.pdf,Downloaded
EASTCAPE CANOES CAIMEN 17 SC,EASTCAPE,CANOES CAIMEN 17 SC,"17' - 10""""",BF50D,50,Powertech 14p Custom,https://cdn.powerequipment.honda.com/marine/pdf/props/East Cape Canoe Caimen 17 SC - BF50 EFI.pdf,honda_downloads\East_Cape_Canoe_Caimen_17_SC_-_BF50_EFI.pdf,Downloaded
