boat,boatManufacturer,boatModel,boatLength,motorName,motorHP,motorProp,pdfUrl,localFilePath,status
Eastern 21 Pilot,Eastern,21 Pilot,21',BF150A  - Non-Current,150,Stainless Steel 14.25 X 16 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Eastern 21 Pilot 190205.pdf,honda_downloads\Eastern_21_Pilot_190205.pdf,Downloaded
EVERGLADES 243 CC,EVERGLADES,243 CC,"24' - 3""""",BF225A - Non-Current,225,Solas Lexor 15 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Everglades 243 CC - BF225.pdf,honda_downloads\Everglades_243_CC_-_BF225.pdf,Downloaded
EVERGLADES 290 PILOT,EVERGLADES,290 PILOT,"28' - 7""""",2 X BF225A  - Non-Current,225,Power Tech OFS 15 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Everglades 290 Pilot with Power Tech - BF225.pdf,honda_downloads\Everglades_290_Pilot_with_Power_Tech_-_BF225.pdf,Downloaded
EVERGLADES 290 PILOT,EVERGLADES,290 PILOT,"28' - 7""""",2 X BF225A  - Non-Current,225,Solas Lexor 15 1/2 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Everglades 290 Pilot with Solas 1 - BF225.pdf,honda_downloads\Everglades_290_Pilot_with_Solas_1_-_BF225.pdf,Downloaded
EVERGLADES 290 PILOT,EVERGLADES,290 PILOT,"28' - 7""""",2 X BF225A  - Non-Current,225,Solas Lexor 15 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Everglades 290 Pilot with Solas 2 - BF225.pdf,honda_downloads\Everglades_290_Pilot_with_Solas_2_-_BF225.pdf,Downloaded
Fluid 880,Fluid,880,"28' 9""",BF225A - Non-Current,225,Stainless Steel 15.5 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Fluid 880 BF225 Twin.pdf,honda_downloads\Fluid_880_BF225_Twin.pdf,Downloaded
SOUTHBAY 922CR,SOUTHBAY,922CR,"21' - 4""""",BF90D,90,Solas 14 x 11 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Forest River Odyssey Southbay 922 CR - BF90 EFI.pdf,honda_downloads\Forest_River_Odyssey_Southbay_922_CR_-_BF90_EFI.pdf,Downloaded
GLACIER BAY 2240 SX RENEGADE,GLACIER,BAY 2240 SX RENEGADE,"22' - 0""""",2 X BF90D,90,Solas 13 1/4 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Glacier Bay 2240 SX Renegade - BF90.pdf,honda_downloads\Glacier_Bay_2240_SX_Renegade_-_BF90.pdf,Downloaded
GLACIER BAY 2640,GLACIER,BAY 2640,"26' - 0""",2 x BF150A - Non-Current,150,Honda 14 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Glacier Bay 2640 - BF150.pdf,honda_downloads\Glacier_Bay_2640_-_BF150.pdf,Downloaded
HURRICANE - 202 FUN DECK GS,HURRICANE,202 FUN DECK GS,"20' - 2""",BF150A  - Non-Current,150,Power Tech OFS 15 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Godfrey Hurricane 202 Fun Deck GS - BF150.pdf,honda_downloads\Godfrey_Hurricane_202_Fun_Deck_GS_-_BF150.pdf,Downloaded
HURRICANE - 202 FUN DECK GS,HURRICANE,202 FUN DECK GS,"20' - 2""",BF150A  - Non-Current,150,Power Tech OFS 15 1/4 x 16 x 4,https://cdn.powerequipment.honda.com/marine/pdf/props/Godfrey Hurricane 202 Fun Deck GS 2 - BF150.pdf,honda_downloads\Godfrey_Hurricane_202_Fun_Deck_GS_2_-_BF150.pdf,Downloaded
GODFREY HURRICANE FUNDECK GS200,GODFREY,HURRICANE FUNDECK GS200,"20' - 1""",BF150A  - Non-Current,150,Solas 14 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Godfrey Hurricane FunDeck GS200 - BF150.pdf,honda_downloads\Godfrey_Hurricane_FunDeck_GS200_-_BF150.pdf,Downloaded
GRADY WHITE - 265 EXPRESS,GRADY WHITE,265 EXPRESS,"26' - 9""",2 X BF225A  - Non-Current,225,PRECISION     14 1/4 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Grady White 265 Express - BF225.pdf,honda_downloads\Grady_White_265_Express_-_BF225.pdf,Downloaded
HEWES CRAFT 220 OCEAN PRO HARD TOP,HEWES,CRAFT 220 OCEAN PRO HARD TOP,"24' - 3""",BF225A - Non-Current,225,Apollo 16.625 x 16 x 4,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewes Craft 220 Ocean Pro Hard Top - BF225.pdf,honda_downloads\Hewes_Craft_220_Ocean_Pro_Hard_Top_-_BF225.pdf,Downloaded
HEWES CRAFT PRO VEE ET 20,HEWES,CRAFT PRO VEE ET 20,"22' - 0""""",BF150A  - Non-Current,150,Solas 14 3/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewes Craft Pro Vee ET 20 - BF150.pdf,honda_downloads\Hewes_Craft_Pro_Vee_ET_20_-_BF150.pdf,Downloaded
HEWES CRAFT SPORTSMAN 18,HEWES,CRAFT SPORTSMAN 18,"18' - 0""""",BF90D,90,Solas 13 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewes Craft Sportsman 18 - BF90.pdf,honda_downloads\Hewes_Craft_Sportsman_18_-_BF90.pdf,Downloaded
HEWESCRAFT 160 SPORTSMAN,HEWESCRAFT,160 SPORTSMAN,"16' - 5""",BF75D,75,Solas 13 3/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewescraft 160 Sportsman - BF75.pdf,honda_downloads\Hewescraft_160_Sportsman_-_BF75.pdf,Downloaded
HEWESCRAFT 160 SPORTSMAN (2),HEWESCRAFT,160 SPORTSMAN (2),"16' - 5""",BF50D,50,Solas 11 3/8 x 12 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewescraft 160 Sportsman with Solas 1 - BF50 EFI.pdf,honda_downloads\Hewescraft_160_Sportsman_with_Solas_1_-_BF50_EFI.pdf,Downloaded
HEWESCRAFT 160 SPORTSMAN (2),HEWESCRAFT,160 SPORTSMAN (2),"16' - 5""",BF50D,50,Solas 11 1/8 x 13 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewescraft 160 Sportsman with Solas 2 - BF50 EFI.pdf,honda_downloads\Hewescraft_160_Sportsman_with_Solas_2_-_BF50_EFI.pdf,Downloaded
HEWESCRAFT 180 SEA RUNNER,HEWESCRAFT,180 SEA RUNNER,"18' - 0""",BF90D,90,Powertech 13 7/8 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewescraft 180 Sea Runner with Power Tech - BF90.pdf,honda_downloads\Hewescraft_180_Sea_Runner_with_Power_Tech_-_BF90.pdf,Downloaded
HEWESCRAFT 180 SEA RUNNER,HEWESCRAFT,180 SEA RUNNER,"18' - 0""",BF90D,90,Solas 14 3/4 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewescraft 180 Sea Runner with Solas - BF90.pdf,honda_downloads\Hewescraft_180_Sea_Runner_with_Solas_-_BF90.pdf,Downloaded
HEWESCRAFT 180 SPORTSMAN (2),HEWESCRAFT,180 SPORTSMAN (2),"18' - 5""",BF90D,90,Solas 13 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewescraft 180 Sportsman - BF90.pdf,honda_downloads\Hewescraft_180_Sportsman_-_BF90.pdf,Downloaded
HEWESCRAFT 200 PRO V,HEWESCRAFT,200 PRO V,"20' - 3""",BF150A  - Non-Current,150,Powertech 14 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewescraft 200 Pro V with Power Tech - BF150.pdf,honda_downloads\Hewescraft_200_Pro_V_with_Power_Tech_-_BF150.pdf,Downloaded
HEWESCRAFT 220 OCEAN PRO ET HT,HEWESCRAFT,220 OCEAN PRO ET HT,"24' - 3""",BF200A  - Non-Current,200,Solas 15 1/4 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewescraft 220 Ocean Pro ET HT - BF200.pdf,honda_downloads\Hewescraft_220_Ocean_Pro_ET_HT_-_BF200.pdf,Downloaded
HEWES CRAFT - 220 SEARUNNER,HEWES CRAFT,220 SEARUNNER,"21' - 10""",BF200A  - Non-Current,225,SOLAS                15  X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewescraft 220 Sea Runner - BF225.pdf,honda_downloads\Hewescraft_220_Sea_Runner_-_BF225.pdf,Downloaded
HEWESCRAFT 220 SEA RUNNER ET HT,HEWESCRAFT,220 SEA RUNNER ET HT,"24' - 1""",BF150A  - Non-Current,150,Solas 15 1/4 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewescraft 220 Sea Runner ET HT - BF150.pdf,honda_downloads\Hewescraft_220_Sea_Runner_ET_HT_-_BF150.pdf,Downloaded
HEWESCRAFT 240 PACIFIC CRUISER,HEWESCRAFT,240 PACIFIC CRUISER,"26' - 3""",BF225A - Non-Current,225,Powertech 15 3/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hewescraft 240 Pacific Cruiser - BF225.pdf,honda_downloads\Hewescraft_240_Pacific_Cruiser_-_BF225.pdf,Downloaded
Hurricane 217 OB,Hurricane,217 OB,21',BF250A - Non-Current,250,Stainless Steel 15.5 X 20 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Hurricane 217ob 190205.pdf,honda_downloads\Hurricane_217ob_190205.pdf,Downloaded
JAVELIN  -  21 MSX,JAVELIN,21 MSX,"20' - 7""",BF200A  - Non-Current,225,MERCURY      14 5/8 X 23 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Javelin 21 MSX with Mercury Prop - BF225.pdf,honda_downloads\Javelin_21_MSX_with_Mercury_Prop_-_BF225.pdf,Downloaded
JAVELIN  -  21 MSX,JAVELIN,21 MSX,"20' - 7""",BF200A  - Non-Current,225,PRECISION     14 1/4 X 21 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Javelin 21 MSX with Precision - BF225.pdf,honda_downloads\Javelin_21_MSX_with_Precision_-_BF225.pdf,Downloaded
KEY WEST 2020 WA,KEY,WEST 2020 WA,"20' - 2""",BF150A  - Non-Current,150,PWRTECH OFX 15 1/4 X 17 X 4,https://cdn.powerequipment.honda.com/marine/pdf/props/Key West 2020 WA with Power Tech - BF150.pdf,honda_downloads\Key_West_2020_WA_with_Power_Tech_-_BF150.pdf,Downloaded
KEY WEST 2020 WA,KEY,WEST 2020 WA,"20' - 2""",BF150A  - Non-Current,150,SOLAS            15 1/4 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Key West 2020 WA with Solas - BF150.pdf,honda_downloads\Key_West_2020_WA_with_Solas_-_BF150.pdf,Downloaded
KEY WEST - 2300 CC,KEY WEST,2300 CC,"23' - 4""",2 x BF150A - Non-Current,150,SOLAS                 15 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Key West 2300 Bluewater - BF150.pdf,honda_downloads\Key_West_2300_Bluewater_-_BF150.pdf,Failed
KEY WEST - 2300 BLUEWATER,KEY WEST,2300 BLUEWATER,"23' - 4""",BF225A  - Non-Current,225,Turbo 14 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Key West 2300 Bluewater - BF225.pdf,honda_downloads\Key_West_2300_Bluewater_-_BF225.pdf,Downloaded
Keywest 263FS,Keywest,263FS,26.3',BF250A - Non-Current,250,Stainless Steel 15.5 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Keywest 263FS 190207.pdf,honda_downloads\Keywest_263FS_190207.pdf,Downloaded
LUND  -  1850 TYEE GS,LUND,1850 TYEE GS,"18"" - 6""",BF150A  - Non-Current,150,SOLAS            14 1/4 X 17 X 4,https://cdn.powerequipment.honda.com/marine/pdf/props/Lund 1850 Tyee GS - BF150.pdf,honda_downloads\Lund_1850_Tyee_GS_-_BF150.pdf,Downloaded
LUND - 1900 PRO - V,LUND,1900 PRO - V,"19' - 7""",BF150A  - Non-Current,150,PWRTECH OFS 15 1/4 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Lund 1900 Pro-V - BF150.pdf,honda_downloads\Lund_1900_Pro-V_-_BF150.pdf,Downloaded
MAKO  192 CC,MAKO,192 CC,"19' - 4""",BF150A  - Non-Current,150,Solas 15 x 19,https://cdn.powerequipment.honda.com/marine/pdf/props/Mako 192 Center Console - BF150.pdf,honda_downloads\Mako_192_Center_Console_-_BF150.pdf,Downloaded
MAKO - 232 CENTER CONSOLE,MAKO,232 CENTER CONSOLE,"22' - 9""",BF225A  - Non-Current,200,PRECISION     14 1/4 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Mako 232 Center Console with Precision 1 - BF200.pdf,honda_downloads\Mako_232_Center_Console_with_Precision_1_-_BF200.pdf,Downloaded
MAKO - 232 CENTER CONSOLE,MAKO,232 CENTER CONSOLE,"22' - 9""",BF225A  - Non-Current,225,PRECISION     14 1/4 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Mako 232 Center Console with Precision 1 - BF225.pdf,honda_downloads\Mako_232_Center_Console_with_Precision_1_-_BF225.pdf,Downloaded
MAKO - 232 CENTER CONSOLE,MAKO,232 CENTER CONSOLE,"22' - 9""",BF225A  - Non-Current,200,PRECISION     14 1/4 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Mako 232 Center Console with Precision 2 - BF200.pdf,honda_downloads\Mako_232_Center_Console_with_Precision_2_-_BF200.pdf,Downloaded
MAKO - 232 CENTER CONSOLE,MAKO,232 CENTER CONSOLE,"22' - 9""",BF225A  - Non-Current,225,PRECISION     14 1/4 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Mako 232 Center Console with Precision 2 - BF225.pdf,honda_downloads\Mako_232_Center_Console_with_Precision_2_-_BF225.pdf,Downloaded
Manitou 230,Manitou,230,23.6',BF250A - Non-Current,250,Stainless Steel 15.25 X 21 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Manitou 230 - twin BF250.pdf,honda_downloads\Manitou_230_-_twin_BF250.pdf,Downloaded
MCKEE CRAFT 196 MARATHON CC,MCKEE,CRAFT 196 MARATHON CC,"19' - 6""",BF150A  - Non-Current,150,Power Tech OFS 15 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/McKee Craft 196 Marathon CC - BF150.pdf,honda_downloads\McKee_Craft_196_Marathon_CC_-_BF150.pdf,Downloaded
Mc KEE CRAFT 24 FREEDOM,Mc,KEE CRAFT 24 FREEDOM,"24' - 0""",2 x BF150A - Non-Current,150,Power Tech OFS 15 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/McKee Craft 24 Freedom - BF150.pdf,honda_downloads\McKee_Craft_24_Freedom_-_BF150.pdf,Downloaded
MUNSON 38 CHINOOK,MUNSON,38 CHINOOK,"38' - 0""",3 X BF225A - Non-Current,225,Solas 15 1/2 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Munson 38 Chinook - BF225.pdf,honda_downloads\Munson_38_Chinook_-_BF225.pdf,Downloaded
MUNSON PACKMAN 23,MUNSON,PACKMAN 23,"23' - 0""",BF150A  - Non-Current,150,Solas 15 1/4 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Munson Packman - BF150.pdf,honda_downloads\Munson_Packman_-_BF150.pdf,Failed
MUNSON PACKMAN,MUNSON,PACKMAN,"28' - 0""",2 X BF225A  - Non-Current,225,Solas 15 1/2 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Munson Packman - BF225.pdf,honda_downloads\Munson_Packman_-_BF225.pdf,Downloaded
NORTHWEST JET 196 FREEDOM,NORTHWEST,JET 196 FREEDOM,"19' - 6""""",BF90D,90,Solas 13 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/NW Jet 196 Freedom Outboard - BF90.pdf,honda_downloads\NW_Jet_196_Freedom_Outboard_-_BF90.pdf,Downloaded
NORTHWEST JET 21 LIGHTNING HARD TOP,NORTHWEST,JET 21 LIGHTNING HARD TOP,"21' - 0""""",BF200A  - Non-Current,200,Powertech 15 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/NW Jet 21 Lightning Hardtop - BF200.pdf,honda_downloads\NW_Jet_21_Lightning_Hardtop_-_BF200.pdf,Downloaded
NORTHWEST JET 21 LIGHTNING SOFT TOP,NORTHWEST,JET 21 LIGHTNING SOFT TOP,"21' - 0""""",BF225A - Non-Current,225,Powertech 15 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/NW Jet 21 Lightning Soft Top - BF225.pdf,honda_downloads\NW_Jet_21_Lightning_Soft_Top_-_BF225.pdf,Downloaded
Northcoast 280 cc,Northcoast,280 cc,28',BF250A - Non-Current,250,Stainless Steel 15.5 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Northcoast 280 cc 190205.pdf,honda_downloads\Northcoast_280_cc_190205.pdf,Downloaded
NORTHWEST JET 208 SEA STAR,NORTHWEST,JET 208 SEA STAR,"20' - 0""",BF150A  - Non-Current,150,Solas 14 1/2 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Northwest Jet 208 Sea Star - BF150.pdf,honda_downloads\Northwest_Jet_208_Sea_Star_-_BF150.pdf,Downloaded
NORTHWEST JET 218 LIGHTNING,NORTHWEST,JET 218 LIGHTNING,"21' - 0""",BF225A - Non-Current,225,Solas 15 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Northwest Jet 218 Lightning - BF225.pdf,honda_downloads\Northwest_Jet_218_Lightning_-_BF225.pdf,Downloaded
NORTHWEST JET 26 SIGNATURE OFFSHORE,NORTHWEST,JET 26 SIGNATURE OFFSHORE,"26' - 0""",2 x BF135 - Non-Current,135,Solas 14 1/2 x 15 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Northwest Jet 26 Signature Offshore - BF135.pdf,honda_downloads\Northwest_Jet_26_Signature_Offshore_-_BF135.pdf,Downloaded
DEFIANCE 260,DEFIANCE,260,"25' - 10""""",2 x BF150A - Non-Current,150,Solas Titan 15 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Palmer Defiance 260 - BF150.pdf,honda_downloads\Palmer_Defiance_260_-_BF150.pdf,Downloaded
PLAYCRAFT POWERTOON 2600 XTREME,PLAYCRAFT,POWERTOON 2600 XTREME,"26' - 0""",BF225A  - Non-Current,225,SOLAS      14 3/4 X 18 X 3 HR,https://cdn.powerequipment.honda.com/marine/pdf/props/Playcraft Powertoon 2600 Xtreme with  Solas 2 - BF225.pdf,honda_downloads\Playcraft_Powertoon_2600_Xtreme_with__Solas_2_-_BF225.pdf,Failed
PLAYCRAFT POWERTOON 2600 XTREME,PLAYCRAFT,POWERTOON 2600 XTREME,"26' - 0""",BF225A  - Non-Current,225,HONDA           14 1/4 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Playcraft Powertoon 2600 Xtreme with Honda Prop - BF225.pdf,honda_downloads\Playcraft_Powertoon_2600_Xtreme_with_Honda_Prop_-_BF225.pdf,Downloaded
PLAYCRAFT POWERTOON 2600 XTREME,PLAYCRAFT,POWERTOON 2600 XTREME,"26' - 0""",BF225A  - Non-Current,225,Mercury 15 1/4 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Playcraft Powertoon 2600 Xtreme with Mercury Prop - BF225.pdf,honda_downloads\Playcraft_Powertoon_2600_Xtreme_with_Mercury_Prop_-_BF225.pdf,Downloaded
PLAYCRAFT POWERTOON 2600 XTREME,PLAYCRAFT,POWERTOON 2600 XTREME,"26' - 0""",BF225A  - Non-Current,225,SOLAS                15  X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Playcraft Powertoon 2600 Xtreme with Solas 1 - BF225.pdf,honda_downloads\Playcraft_Powertoon_2600_Xtreme_with_Solas_1_-_BF225.pdf,Downloaded
PLAYCRAFT POWERTOON 2600 XTREME,PLAYCRAFT,POWERTOON 2600 XTREME,"26' - 0""",BF225A  - Non-Current,225,SOLAS                14  X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Playcraft Powertoon 2600 Xtreme with Solas 3 - BF225.pdf,honda_downloads\Playcraft_Powertoon_2600_Xtreme_with_Solas_3_-_BF225.pdf,Downloaded
POLAR KRAFT V 165 SC KODIAK,POLAR,KRAFT V 165 SC KODIAK,"16' - 4""""",BF50D,50,Solas 11 x 13 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Polar Kraft V 165 SC Kodiak - BF50 EFI.pdf,honda_downloads\Polar_Kraft_V_165_SC_Kodiak_-_BF50_EFI.pdf,Downloaded
POLAR KRAFT V 186 T,POLAR,KRAFT V 186 T,"18' - 6""""",BF75D,75,Solas 13 7/8 x 19 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Polar Kraft V 186 T - BF75.pdf,honda_downloads\Polar_Kraft_V_186_T_-_BF75.pdf,Downloaded
PREMIER 210 SUNSATION LTD,PREMIER,210 SUNSATION LTD,"20' - 4""",BFP60,60,Solas 13 1/2 x 9 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Premier 210 SunSation Ltd - BFP60.pdf,honda_downloads\Premier_210_SunSation_Ltd_-_BFP60.pdf,Downloaded
PREMIER 225 RE LEGEND,PREMIER,225 RE LEGEND,"22' - 9""""",BF75D,75,Solas 13 3/4 x 13 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Premier 225 RE Legend - BF75.pdf,honda_downloads\Premier_225_RE_Legend_-_BF75.pdf,Downloaded
PREMIER - 230 GRAND MAJESTIC,PREMIER,230 GRAND MAJESTIC,"23' - 5""",BF150A  - Non-Current,150,SOLAS            15 1/2 X 15 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Premier 230 RE Grand Majestic - BF150.pdf,honda_downloads\Premier_230_RE_Grand_Majestic_-_BF150.pdf,Downloaded
PREMIER - 250 GRAND MAJESTIC,PREMIER,250 GRAND MAJESTIC,"25' - 0""",BF225A  - Non-Current,225,HONDA           14 1/4 X 18 X 4,https://cdn.powerequipment.honda.com/marine/pdf/props/Premier 250 Grand Majestic with Honda Prop 1 - BF225.pdf,honda_downloads\Premier_250_Grand_Majestic_with_Honda_Prop_1_-_BF225.pdf,Downloaded
PREMIER - 250 GRAND MAJESTIC,PREMIER,250 GRAND MAJESTIC,"25' - 0""",BF225A  - Non-Current,225,HONDA           14 1/4 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Premier 250 Grand Majestic with Honda Prop 2 - BF225.pdf,honda_downloads\Premier_250_Grand_Majestic_with_Honda_Prop_2_-_BF225.pdf,Downloaded
PREMIER - 250 GRAND MAJESTIC,PREMIER,250 GRAND MAJESTIC,"25' - 0""",BF225A  - Non-Current,225,SOLAS                 15 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Premier 250 Grand Majestic with Solas 1 - BF225.pdf,honda_downloads\Premier_250_Grand_Majestic_with_Solas_1_-_BF225.pdf,Downloaded
PREMIER - 250 GRAND MAJESTIC,PREMIER,250 GRAND MAJESTIC,"25' - 0""",BF225A  - Non-Current,225,SOLAS           15 1/2 X 19 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Premier 250 Grand Majestic with Solas 2 - BF225.pdf,honda_downloads\Premier_250_Grand_Majestic_with_Solas_2_-_BF225.pdf,Downloaded
PREMIER - 250 GRAND MAJESTIC,PREMIER,250 GRAND MAJESTIC,"25' - 0""",BF225A  - Non-Current,225,SOLAS            15 1/4 X 17 X 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Premier 250 Grand Majestic with Solas 3 - BF225.pdf,honda_downloads\Premier_250_Grand_Majestic_with_Solas_3_-_BF225.pdf,Downloaded
PREMIER SUN SPREE 200,PREMIER,SUN SPREE 200,"21' - 0""""",BF50D,50,Solas 11 x 9 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Premier Sun Spree 200 - BF50 EFI.pdf,honda_downloads\Premier_Sun_Spree_200_-_BF50_EFI.pdf,Downloaded
PRO STEELHEADER 18 SPORT,PRO,STEELHEADER 18 SPORT,"18' - 0""""",BF75D,75,Solas 13 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Pro Steelheader 18 Sport - BF75.pdf,honda_downloads\Pro_Steelheader_18_Sport_-_BF75.pdf,Downloaded
PRO STEELHEADER RIVER PREDATOR 18,PRO,STEELHEADER RIVER PREDATOR 18,"18' - 0""""",65 JET (BF90D jet version),65,Aluminum Impeller,https://cdn.powerequipment.honda.com/marine/pdf/props/Pro Steelheader River Predator 18 - BF90 Jet.pdf,honda_downloads\Pro_Steelheader_River_Predator_18_-_BF90_Jet.pdf,Downloaded
PRO STEELHEADER SEA PREDATOR 20,PRO,STEELHEADER SEA PREDATOR 20,"20' - 0""""",BF90D,90,Solas 13 1/4 x 17 x 3,https://cdn.powerequipment.honda.com/marine/pdf/props/Pro Steelheader Sea Predator 20 - BF90.pdf,honda_downloads\Pro_Steelheader_Sea_Predator_20_-_BF90.pdf,Downloaded
